1	0	1	1	8	1	0	0
1	1	7	7	8	1	0	0
1	2	1	1	7	1	1	0
1	3	7	7	7	1	1	0
1	4	1	1	6	1	2	0
1	5	7	7	6	1	2	0
1	6	1	1	5	1	3	0
1	7	7	7	5	1	3	0
1	8	1	1	4	0	3	0
1	9	7	7	4	0	3	0
1	10	1	1	3	0	2	0
1	11	7	7	3	0	2	0
1	12	1	1	2	0	1	0
1	13	7	7	2	0	1	0
1	14	1	1	1	0	0	0
1	15	7	7	1	0	0	0
1	16	0	0	8	1	0	0
1	17	6	6	8	1	0	0
1	18	0	0	7	1	1	0
1	19	6	6	7	1	1	0
1	20	0	0	6	1	2	0
1	21	6	6	6	1	2	0
1	22	0	0	5	1	3	0
1	23	6	6	5	1	3	0
1	24	0	0	4	0	3	0
1	25	6	6	4	0	3	0
1	26	0	0	3	0	2	0
1	27	6	6	3	0	2	0
1	28	0	0	2	0	1	0
1	29	6	6	2	0	1	0
1	30	0	0	1	0	0	0
1	31	6	6	1	0	0	0
1	32	2	2	1	0	0	0
1	33	4	4	1	0	0	0
1	34	2	2	2	0	1	0
1	35	4	4	2	0	1	0
1	36	2	2	3	0	2	0
1	37	4	4	3	0	2	0
1	38	2	2	4	0	3	0
1	39	4	4	4	0	3	0
1	40	2	2	5	1	3	0
1	41	4	4	5	1	3	0
1	42	2	2	6	1	2	0
1	43	4	4	6	1	2	0
1	44	2	2	7	1	1	0
1	45	4	4	7	1	1	0
1	46	2	2	8	1	0	0
1	47	4	4	8	1	0	0
1	48	3	3	1	0	0	0
1	49	5	5	1	0	0	0
1	50	3	3	2	0	1	0
1	51	5	5	2	0	1	0
1	52	3	3	3	0	2	0
1	53	5	5	3	0	2	0
1	54	3	3	4	0	3	0
1	55	5	5	4	0	3	0
1	56	3	3	5	1	3	0
1	57	5	5	5	1	3	0
1	58	3	3	6	1	2	0
1	59	5	5	6	1	2	0
1	60	3	3	7	1	1	0
1	61	5	5	7	1	1	0
1	62	3	3	8	1	0	0
1	63	5	5	8	1	0	0
0	0	9	9	8	1	0	0
0	2	9	9	7	1	1	0
0	4	9	9	6	1	2	0
0	6	9	9	5	1	3	0
0	8	9	9	4	0	3	0
0	10	9	9	3	0	2	0
0	12	9	9	2	0	1	0
0	14	9	9	1	0	0	0
0	16	8	8	8	1	0	0
0	18	8	8	7	1	1	0
0	20	8	8	6	1	2	0
0	22	8	8	5	1	3	0
0	24	8	8	4	0	3	0
0	26	8	8	3	0	2	0
0	28	8	8	2	0	1	0
0	30	8	8	1	0	0	0
0	17	12	13	8	1	0	0
0	19	12	13	7	1	1	0
0	21	12	13	6	1	2	0
0	23	12	13	5	1	3	0
0	25	12	13	4	0	3	0
0	27	12	13	3	0	2	0
0	29	12	13	2	0	1	0
0	31	12	13	1	0	0	0
0	32	11	12	8	1	0	0
0	34	11	12	7	1	1	0
0	36	11	12	6	1	2	0
0	38	11	12	5	1	3	0
0	40	11	12	4	0	3	0
0	42	11	12	3	0	2	0
0	44	11	12	2	0	1	0
0	46	11	12	1	0	0	0
0	48	10	11	8	1	0	0
0	50	10	11	7	1	1	0
0	52	10	11	6	1	2	0
0	54	10	11	5	1	3	0
0	56	10	11	4	0	3	0
0	58	10	11	3	0	2	0
0	60	10	11	2	0	1	0
0	62	10	11	1	0	0	0
